complaint_id,timestamp,customer_id,channel,complaint_text,category,priority,supplier_id,product_category,region,order_id,complaint_text_normalized,complaint_text_no_stopwords,category_encoded
CMP-000126,2024-03-17 03:39:19,CUST-2424,social,Shipment ORD-587192 arrived with crushed boxes. Multiple peaches units are unsellable.,Damaged Goods,medium,SUP-12256,fresh strawberries,Europe,ORD-587192,shipment ord587192 arrived with crushed boxes multiple peaches units are unsellable,shipment ord587192 arrived crushed boxes multiple peaches units unsellable,0
CMP-000127,2024-03-17 18:16:35,CUST-2055,social,Quality control failure on order ORD-425138. broccoli are contaminated and cannot be sold.,Quality Issues,high,SUP-12092,lemons,Europe,ORD-425138,quality control failure on order ord425138 broccoli are contaminated and cannot be sold,quality control failure order ord425138 broccoli contaminated cannot sold,6
CMP-000128,2024-03-18 08:53:52,CUST-1254,web,Shipment ORD-386488 stuck in transit for 8 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-12571,peaches,North America,ORD-386488,shipment ord386488 stuck in transit for 8 days this is causing major disruptions to our supply chain,shipment ord386488 stuck transit 8 days causing major disruptions supply chain,1
CMP-000129,2024-03-18 23:31:08,CUST-2640,email,Unacceptable behavior from your team handling order ORD-379676. Need to speak with a manager.,Service Complaint,medium,SUP-7510,kale,North America,ORD-379676,unacceptable behavior from your team handling order ord379676 need to speak with a manager,unacceptable behavior team handling order ord379676 need speak manager,7
CMP-000130,2024-03-19 14:08:25,CUST-1872,app,Order ORD-852524 missing items. Expected 414 but received only 77 blueberries.,Missing Items,low,SUP-12765,fresh strawberries,Asia,ORD-852524,order ord852524 missing items expected 414 but received only 77 blueberries,order ord852524 missing items expected 414 received 77 blueberries,3
CMP-000131,2024-03-20 04:45:41,CUST-2305,social,Received only partial order ORD-803787. Where are the remaining 6 carrots?,Missing Items,critical,SUP-6933,pineapples,North America,ORD-803787,received only partial order ord803787 where are the remaining 6 carrots,received partial order ord803787 remaining 6 carrots,3
CMP-000132,2024-03-20 19:22:57,CUST-1741,social,Critical delay on order ORD-484123. The fresh strawberries were time-sensitive and now may be unusable.,Delivery Delay,medium,SUP-6127,carrots,Europe,ORD-484123,critical delay on order ord484123 the fresh strawberries were timesensitive and now may be unusable,critical delay order ord484123 fresh strawberries timesensitive may unusable,1
CMP-000133,2024-03-21 10:00:14,CUST-1643,web,Paperwork for shipment ORD-517368 has wrong product codes. This is delaying our processing.,Documentation Error,medium,SUP-10767,kale,Asia,ORD-517368,paperwork for shipment ord517368 has wrong product codes this is delaying our processing,paperwork shipment ord517368 wrong product codes delaying processing,2
CMP-000134,2024-03-22 00:37:30,CUST-1584,social,Shipment ORD-741599 short by 16 items. Packing list doesn't match actual delivery.,Missing Items,high,SUP-7618,limes,Europe,ORD-741599,shipment ord741599 short by 16 items packing list doesnt match actual delivery,shipment ord741599 short 16 items packing list doesnt match actual delivery,3
CMP-000135,2024-03-22 15:14:47,CUST-1132,web,Quality issue with order ORD-844007. The cherries show signs of improper handling during transport.,Damaged Goods,medium,SUP-6137,oranges,Europe,ORD-844007,quality issue with order ord844007 the cherries show signs of improper handling during transport,quality issue order ord844007 cherries show signs improper handling transport,0
CMP-000136,2024-03-23 05:52:03,CUST-1739,web,"Freshness issue with order ORD-127560. peaches appear to be several days old, not fresh picked.",Quality Issues,critical,SUP-8921,carrots,Europe,ORD-127560,freshness issue with order ord127560 peaches appear to be several days old not fresh picked,freshness issue order ord127560 peaches appear several days old fresh picked,6
CMP-000137,2024-03-23 20:29:20,CUST-1838,email,Paperwork for shipment ORD-906527 has wrong product codes. This is delaying our processing.,Documentation Error,high,SUP-11391,potatoes,North America,ORD-906527,paperwork for shipment ord906527 has wrong product codes this is delaying our processing,paperwork shipment ord906527 wrong product codes delaying processing,2
CMP-000138,2024-03-24 11:06:36,CUST-1372,app,Pricing error detected. Order ORD-716338 billed at $2244 instead of agreed $1826.,Pricing Error,medium,SUP-6847,blueberries,North America,ORD-716338,pricing error detected order ord716338 billed at 2244 instead of agreed 1826,pricing error detected order ord716338 billed 2244 instead agreed 1826,5
CMP-000139,2024-03-25 01:43:53,CUST-2732,email,Unacceptable quality for shipment ORD-397846. The bananas do not meet our quality standards.,Quality Issues,high,SUP-6381,onions,North America,ORD-397846,unacceptable quality for shipment ord397846 the bananas do not meet our quality standards,unacceptable quality shipment ord397846 bananas meet quality standards,6
CMP-000140,2024-03-25 16:21:09,CUST-1350,web,Cannot get anyone to respond about order ORD-261684 delay. Very frustrated with the service.,Poor Communication,medium,SUP-9686,spinach,North America,ORD-261684,cannot get anyone to respond about order ord261684 delay very frustrated with the service,cannot get anyone respond order ord261684 delay frustrated service,4
CMP-000141,2024-03-26 06:58:26,CUST-1062,social,Incorrect shipping documents for ORD-770030. Supplier name and details are wrong.,Documentation Error,low,SUP-5490,cucumbers,Europe,ORD-770030,incorrect shipping documents for ord770030 supplier name and details are wrong,incorrect shipping documents ord770030 supplier name details wrong,2
CMP-000142,2024-03-26 21:35:42,CUST-1991,social,Shipment ORD-535810 arrived with crushed boxes. Multiple avocados units are unsellable.,Damaged Goods,low,SUP-11231,blueberries,North America,ORD-535810,shipment ord535810 arrived with crushed boxes multiple avocados units are unsellable,shipment ord535810 arrived crushed boxes multiple avocados units unsellable,0
CMP-000143,2024-03-27 12:12:59,CUST-1217,web,Shipment ORD-688933 short by 20 items. Packing list doesn't match actual delivery.,Missing Items,low,SUP-12079,garlic,Europe,ORD-688933,shipment ord688933 short by 20 items packing list doesnt match actual delivery,shipment ord688933 short 20 items packing list doesnt match actual delivery,3
CMP-000144,2024-03-28 02:50:15,CUST-2971,app,Overcharged on shipment ORD-360330. Please review and issue credit for $1295.,Pricing Error,medium,SUP-9074,organic apples,Asia,ORD-360330,overcharged on shipment ord360330 please review and issue credit for 1295,overcharged shipment ord360330 please review issue credit 1295,5
CMP-000145,2024-03-28 17:27:32,CUST-2035,social,Shipment ORD-512344 arrived with crushed boxes. Multiple bananas units are unsellable.,Damaged Goods,high,SUP-11940,lettuce,Europe,ORD-512344,shipment ord512344 arrived with crushed boxes multiple bananas units are unsellable,shipment ord512344 arrived crushed boxes multiple bananas units unsellable,0
CMP-000146,2024-03-29 08:04:48,CUST-2807,web,Order ORD-240440 is severely delayed. We needed these pineapples by 2025-10-30 for our retail operations.,Delivery Delay,low,SUP-5602,raspberries,North America,ORD-240440,order ord240440 is severely delayed we needed these pineapples by 20251030 for our retail operations,order ord240440 severely delayed needed pineapples 20251030 retail operations,1
CMP-000147,2024-03-29 22:42:05,CUST-2565,web,Quality control failure on order ORD-572230. limes are contaminated and cannot be sold.,Quality Issues,high,SUP-11184,bell peppers,Asia,ORD-572230,quality control failure on order ord572230 limes are contaminated and cannot be sold,quality control failure order ord572230 limes contaminated cannot sold,6
CMP-000148,2024-03-30 13:19:21,CUST-2042,social,Critical delay on order ORD-731728. The fresh strawberries were time-sensitive and now may be unusable.,Delivery Delay,medium,SUP-12316,carrots,Asia,ORD-731728,critical delay on order ord731728 the fresh strawberries were timesensitive and now may be unusable,critical delay order ord731728 fresh strawberries timesensitive may unusable,1
CMP-000149,2024-03-31 03:56:37,CUST-2907,web,Customer service is unresponsive. Order ORD-443897 has issues but nobody is getting back to me.,Poor Communication,low,SUP-7455,broccoli,Asia,ORD-443897,customer service is unresponsive order ord443897 has issues but nobody is getting back to me,customer service unresponsive order ord443897 issues nobody getting back,4
CMP-000150,2024-03-31 18:33:54,CUST-1678,email,Order ORD-486251 missing items. Expected 235 but received only 91 onions.,Missing Items,low,SUP-8935,cucumbers,North America,ORD-486251,order ord486251 missing items expected 235 but received only 91 onions,order ord486251 missing items expected 235 received 91 onions,3
CMP-000151,2024-04-01 09:11:10,CUST-2476,social,"Delivery delay for shipment ORD-759580. Expected 2025-10-30, still not received. Our customers are waiting.",Delivery Delay,medium,SUP-8430,bell peppers,Europe,ORD-759580,delivery delay for shipment ord759580 expected 20251030 still not received our customers are waiting,delivery delay shipment ord759580 expected 20251030 still received customers waiting,1
CMP-000152,2024-04-01 23:48:27,CUST-1417,social,Incomplete delivery for ORD-824042. 8 cases of pineapples are missing from the shipment.,Missing Items,medium,SUP-10424,broccoli,North America,ORD-824042,incomplete delivery for ord824042 8 cases of pineapples are missing from the shipment,incomplete delivery ord824042 8 cases pineapples missing shipment,3
CMP-000153,2024-04-02 14:25:43,CUST-1642,app,Been waiting 10 days for update on order ORD-495129. This lack of communication is unprofessional.,Poor Communication,critical,SUP-12842,oranges,Europe,ORD-495129,been waiting 10 days for update on order ord495129 this lack of communication is unprofessional,waiting 10 days update order ord495129 lack communication unprofessional,4
CMP-000154,2024-04-03 05:03:00,CUST-1611,app,Overcharged on shipment ORD-685196. Please review and issue credit for $1061.,Pricing Error,medium,SUP-10911,grapes,Europe,ORD-685196,overcharged on shipment ord685196 please review and issue credit for 1061,overcharged shipment ord685196 please review issue credit 1061,5
CMP-000155,2024-04-03 19:40:16,CUST-2174,social,"Freshness issue with order ORD-227794. pears appear to be several days old, not fresh picked.",Quality Issues,medium,SUP-10373,grapes,North America,ORD-227794,freshness issue with order ord227794 pears appear to be several days old not fresh picked,freshness issue order ord227794 pears appear several days old fresh picked,6
CMP-000156,2024-04-04 10:17:33,CUST-1438,app,Invoice ORD-602351 has wrong prices for grapes. This needs immediate correction.,Pricing Error,low,SUP-12415,carrots,Asia,ORD-602351,invoice ord602351 has wrong prices for grapes this needs immediate correction,invoice ord602351 wrong prices grapes needs immediate correction,5
CMP-000157,2024-04-05 00:54:49,CUST-1476,email,My order #ORD-768933 was supposed to arrive on 2025-10-31 but it's now 7 days late. This is unacceptable for perishable goods.,Delivery Delay,critical,SUP-8333,lemons,Europe,ORD-768933,my order ord768933 was supposed to arrive on 20251031 but its now 7 days late this is unacceptable for perishable goods,order ord768933 supposed arrive 20251031 7 days late unacceptable perishable goods,1
CMP-000158,2024-04-05 15:32:06,CUST-2332,app,Unacceptable quality for shipment ORD-600641. The avocados do not meet our quality standards.,Quality Issues,high,SUP-11965,fresh strawberries,Asia,ORD-600641,unacceptable quality for shipment ord600641 the avocados do not meet our quality standards,unacceptable quality shipment ord600641 avocados meet quality standards,6
CMP-000159,2024-04-06 06:09:22,CUST-2806,app,Invoice ORD-538184 shows incorrect pricing. We were quoted $2944 but charged $3907.,Pricing Error,low,SUP-12605,avocados,Europe,ORD-538184,invoice ord538184 shows incorrect pricing we were quoted 2944 but charged 3907,invoice ord538184 shows incorrect pricing quoted 2944 charged 3907,5
CMP-000160,2024-04-06 20:46:39,CUST-2313,social,"Delivery delay for shipment ORD-576419. Expected 2025-10-27, still not received. Our customers are waiting.",Delivery Delay,medium,SUP-7107,watermelons,Asia,ORD-576419,delivery delay for shipment ord576419 expected 20251027 still not received our customers are waiting,delivery delay shipment ord576419 expected 20251027 still received customers waiting,1
CMP-000161,2024-04-07 11:23:55,CUST-2508,web,Received only partial order ORD-114768. Where are the remaining 44 onions?,Missing Items,high,SUP-8283,limes,Asia,ORD-114768,received only partial order ord114768 where are the remaining 44 onions,received partial order ord114768 remaining 44 onions,3
CMP-000162,2024-04-08 02:01:12,CUST-1287,social,Received only partial order ORD-293757. Where are the remaining 20 oranges?,Missing Items,medium,SUP-9771,cantaloupe,North America,ORD-293757,received only partial order ord293757 where are the remaining 20 oranges,received partial order ord293757 remaining 20 oranges,3
CMP-000163,2024-04-08 16:38:28,CUST-1535,web,Poor service experience with shipment ORD-111991. Staff was unhelpful and dismissive.,Service Complaint,medium,SUP-11306,mangoes,North America,ORD-111991,poor service experience with shipment ord111991 staff was unhelpful and dismissive,poor service experience shipment ord111991 staff unhelpful dismissive,7
CMP-000164,2024-04-09 07:15:45,CUST-2308,web,Received only partial order ORD-223119. Where are the remaining 35 garlic?,Missing Items,medium,SUP-12477,broccoli,North America,ORD-223119,received only partial order ord223119 where are the remaining 35 garlic,received partial order ord223119 remaining 35 garlic,3
CMP-000165,2024-04-09 21:53:01,CUST-2360,app,Billing discrepancy on order ORD-940952. The unit price for limes doesn't match our contract.,Pricing Error,low,SUP-5919,fresh strawberries,North America,ORD-940952,billing discrepancy on order ord940952 the unit price for limes doesnt match our contract,billing discrepancy order ord940952 unit price limes doesnt match contract,5
CMP-000166,2024-04-10 12:30:18,CUST-1414,app,Shipment ORD-630041 arrived with crushed boxes. Multiple avocados units are unsellable.,Damaged Goods,high,SUP-8649,peaches,Asia,ORD-630041,shipment ord630041 arrived with crushed boxes multiple avocados units are unsellable,shipment ord630041 arrived crushed boxes multiple avocados units unsellable,0
CMP-000167,2024-04-11 03:07:34,CUST-1270,social,Shipment ORD-575458 stuck in transit for 2 days. This is causing major disruptions to our supply chain.,Delivery Delay,low,SUP-5024,cantaloupe,Asia,ORD-575458,shipment ord575458 stuck in transit for 2 days this is causing major disruptions to our supply chain,shipment ord575458 stuck transit 2 days causing major disruptions supply chain,1
CMP-000168,2024-04-11 17:44:50,CUST-1149,email,Shipment ORD-706403 stuck in transit for 13 days. This is causing major disruptions to our supply chain.,Delivery Delay,low,SUP-11299,bell peppers,North America,ORD-706403,shipment ord706403 stuck in transit for 13 days this is causing major disruptions to our supply chain,shipment ord706403 stuck transit 13 days causing major disruptions supply chain,1
CMP-000169,2024-04-12 08:22:07,CUST-2322,social,Unacceptable quality for shipment ORD-864715. The asparagus do not meet our quality standards.,Quality Issues,high,SUP-7848,lettuce,Asia,ORD-864715,unacceptable quality for shipment ord864715 the asparagus do not meet our quality standards,unacceptable quality shipment ord864715 asparagus meet quality standards,6
CMP-000170,2024-04-12 22:59:23,CUST-1804,app,Billing discrepancy on order ORD-663356. The unit price for pears doesn't match our contract.,Pricing Error,low,SUP-11744,oranges,Asia,ORD-663356,billing discrepancy on order ord663356 the unit price for pears doesnt match our contract,billing discrepancy order ord663356 unit price pears doesnt match contract,5
CMP-000171,2024-04-13 13:36:40,CUST-1708,app,Overcharged on shipment ORD-583000. Please review and issue credit for $123.,Pricing Error,medium,SUP-5826,garlic,Asia,ORD-583000,overcharged on shipment ord583000 please review and issue credit for 123,overcharged shipment ord583000 please review issue credit 123,5
CMP-000172,2024-04-14 04:13:56,CUST-2224,email,"Delivery delay for shipment ORD-568127. Expected 2025-10-30, still not received. Our customers are waiting.",Delivery Delay,medium,SUP-6918,pears,North America,ORD-568127,delivery delay for shipment ord568127 expected 20251030 still not received our customers are waiting,delivery delay shipment ord568127 expected 20251030 still received customers waiting,1
CMP-000173,2024-04-14 18:51:13,CUST-1653,web,Shipment ORD-704095 arrived with crushed boxes. Multiple mangoes units are unsellable.,Damaged Goods,high,SUP-12206,cantaloupe,Asia,ORD-704095,shipment ord704095 arrived with crushed boxes multiple mangoes units are unsellable,shipment ord704095 arrived crushed boxes multiple mangoes units unsellable,0
CMP-000174,2024-04-15 09:28:29,CUST-2390,social,Incomplete delivery for ORD-756401. 46 cases of broccoli are missing from the shipment.,Missing Items,low,SUP-8344,bell peppers,Europe,ORD-756401,incomplete delivery for ord756401 46 cases of broccoli are missing from the shipment,incomplete delivery ord756401 46 cases broccoli missing shipment,3
CMP-000175,2024-04-16 00:05:46,CUST-1376,social,Shipment ORD-494747 arrived with crushed boxes. Multiple cherries units are unsellable.,Damaged Goods,high,SUP-9565,carrots,Asia,ORD-494747,shipment ord494747 arrived with crushed boxes multiple cherries units are unsellable,shipment ord494747 arrived crushed boxes multiple cherries units unsellable,0
CMP-000176,2024-04-16 14:43:02,CUST-1497,web,Billing discrepancy on order ORD-507286. The unit price for avocados doesn't match our contract.,Pricing Error,high,SUP-5422,grapes,Europe,ORD-507286,billing discrepancy on order ord507286 the unit price for avocados doesnt match our contract,billing discrepancy order ord507286 unit price avocados doesnt match contract,5
CMP-000177,2024-04-17 05:20:19,CUST-2238,email,Order ORD-806396 is incomplete. Missing 35 units of bananas.,Missing Items,medium,SUP-6735,bananas,North America,ORD-806396,order ord806396 is incomplete missing 35 units of bananas,order ord806396 incomplete missing 35 units bananas,3
CMP-000178,2024-04-17 19:57:35,CUST-2529,social,"Delivery delay for shipment ORD-223014. Expected 2025-10-28, still not received. Our customers are waiting.",Delivery Delay,medium,SUP-10314,blueberries,Europe,ORD-223014,delivery delay for shipment ord223014 expected 20251028 still not received our customers are waiting,delivery delay shipment ord223014 expected 20251028 still received customers waiting,1
CMP-000179,2024-04-18 10:34:52,CUST-1736,social,Shipment ORD-374267 stuck in transit for 14 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-12078,oranges,North America,ORD-374267,shipment ord374267 stuck in transit for 14 days this is causing major disruptions to our supply chain,shipment ord374267 stuck transit 14 days causing major disruptions supply chain,1
CMP-000180,2024-04-19 01:12:08,CUST-1033,web,Service quality is deteriorating. Multiple issues with order ORD-253011 and no one seems to care.,Service Complaint,medium,SUP-7013,broccoli,North America,ORD-253011,service quality is deteriorating multiple issues with order ord253011 and no one seems to care,service quality deteriorating multiple issues order ord253011 one seems care,7
CMP-000181,2024-04-19 15:49:25,CUST-2932,web,Quality issue with order ORD-786406. The pineapples show signs of improper handling during transport.,Damaged Goods,high,SUP-9000,cucumbers,North America,ORD-786406,quality issue with order ord786406 the pineapples show signs of improper handling during transport,quality issue order ord786406 pineapples show signs improper handling transport,0
CMP-000182,2024-04-20 06:26:41,CUST-2960,email,Invoice ORD-772985 has wrong prices for fresh strawberries. This needs immediate correction.,Pricing Error,medium,SUP-5074,bananas,North America,ORD-772985,invoice ord772985 has wrong prices for fresh strawberries this needs immediate correction,invoice ord772985 wrong prices fresh strawberries needs immediate correction,5
CMP-000183,2024-04-20 21:03:58,CUST-1764,email,Service quality is deteriorating. Multiple issues with order ORD-578160 and no one seems to care.,Service Complaint,medium,SUP-5137,carrots,North America,ORD-578160,service quality is deteriorating multiple issues with order ord578160 and no one seems to care,service quality deteriorating multiple issues order ord578160 one seems care,7
CMP-000184,2024-04-21 11:41:14,CUST-2097,web,Delivery driver for order ORD-388086 was extremely rude and unprofessional.,Service Complaint,high,SUP-10077,carrots,Europe,ORD-388086,delivery driver for order ord388086 was extremely rude and unprofessional,delivery driver order ord388086 extremely rude unprofessional,7
CMP-000185,2024-04-22 02:18:31,CUST-1725,web,Shipment ORD-954814 stuck in transit for 7 days. This is causing major disruptions to our supply chain.,Delivery Delay,low,SUP-11945,tomatoes,North America,ORD-954814,shipment ord954814 stuck in transit for 7 days this is causing major disruptions to our supply chain,shipment ord954814 stuck transit 7 days causing major disruptions supply chain,1
CMP-000186,2024-04-22 16:55:47,CUST-2330,email,My order #ORD-999908 was supposed to arrive on 2025-11-01 but it's now 8 days late. This is unacceptable for perishable goods.,Delivery Delay,low,SUP-9094,cherries,Europe,ORD-999908,my order ord999908 was supposed to arrive on 20251101 but its now 8 days late this is unacceptable for perishable goods,order ord999908 supposed arrive 20251101 8 days late unacceptable perishable goods,1
CMP-000187,2024-04-23 07:33:03,CUST-2606,web,Critical delay on order ORD-776234. The cherries were time-sensitive and now may be unusable.,Delivery Delay,medium,SUP-10606,grapes,North America,ORD-776234,critical delay on order ord776234 the cherries were timesensitive and now may be unusable,critical delay order ord776234 cherries timesensitive may unusable,1
CMP-000188,2024-04-23 22:10:20,CUST-2347,email,"Delivery delay for shipment ORD-690882. Expected 2025-10-30, still not received. Our customers are waiting.",Delivery Delay,medium,SUP-6330,onions,Asia,ORD-690882,delivery delay for shipment ord690882 expected 20251030 still not received our customers are waiting,delivery delay shipment ord690882 expected 20251030 still received customers waiting,1
CMP-000189,2024-04-24 12:47:36,CUST-2709,social,Quality control failure on order ORD-694223. avocados are contaminated and cannot be sold.,Quality Issues,low,SUP-5439,lettuce,Europe,ORD-694223,quality control failure on order ord694223 avocados are contaminated and cannot be sold,quality control failure order ord694223 avocados contaminated cannot sold,6
CMP-000190,2024-04-25 03:24:53,CUST-2717,email,Unacceptable quality for shipment ORD-343420. The garlic do not meet our quality standards.,Quality Issues,medium,SUP-9019,oranges,Europe,ORD-343420,unacceptable quality for shipment ord343420 the garlic do not meet our quality standards,unacceptable quality shipment ord343420 garlic meet quality standards,6
CMP-000191,2024-04-25 18:02:09,CUST-2927,social,Shipment ORD-679902 stuck in transit for 12 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-8112,watermelons,North America,ORD-679902,shipment ord679902 stuck in transit for 12 days this is causing major disruptions to our supply chain,shipment ord679902 stuck transit 12 days causing major disruptions supply chain,1
CMP-000192,2024-04-26 08:39:26,CUST-2514,social,Received only partial order ORD-261771. Where are the remaining 24 blueberries?,Missing Items,high,SUP-6535,spinach,Europe,ORD-261771,received only partial order ord261771 where are the remaining 24 blueberries,received partial order ord261771 remaining 24 blueberries,3
CMP-000193,2024-04-26 23:16:42,CUST-2136,social,No response to my emails about order ORD-684041. I've been trying to reach support for 7 days.,Poor Communication,medium,SUP-7390,spinach,Europe,ORD-684041,no response to my emails about order ord684041 ive been trying to reach support for 7 days,response emails order ord684041 ive trying reach support 7 days,4
CMP-000194,2024-04-27 13:53:59,CUST-1173,app,"Order ORD-917018 completely ruined. carrots arrived in terrible condition, cannot be sold.",Damaged Goods,medium,SUP-6369,spinach,Europe,ORD-917018,order ord917018 completely ruined carrots arrived in terrible condition cannot be sold,order ord917018 completely ruined carrots arrived terrible condition cannot sold,0
CMP-000195,2024-04-28 04:31:15,CUST-1613,social,No response to my emails about order ORD-541557. I've been trying to reach support for 5 days.,Poor Communication,medium,SUP-7495,organic apples,Europe,ORD-541557,no response to my emails about order ord541557 ive been trying to reach support for 5 days,response emails order ord541557 ive trying reach support 5 days,4
CMP-000196,2024-04-28 19:08:32,CUST-2723,social,Customer service rep was very unprofessional when I called about order ORD-448354.,Service Complaint,medium,SUP-6645,broccoli,Europe,ORD-448354,customer service rep was very unprofessional when i called about order ord448354,customer service rep unprofessional called order ord448354,7
CMP-000197,2024-04-29 09:45:48,CUST-2975,social,Quality issue with order ORD-286266. The mangoes show signs of improper handling during transport.,Damaged Goods,high,SUP-7990,lettuce,North America,ORD-286266,quality issue with order ord286266 the mangoes show signs of improper handling during transport,quality issue order ord286266 mangoes show signs improper handling transport,0
CMP-000198,2024-04-30 00:23:05,CUST-2212,app,"Order ORD-309505 completely ruined. organic apples arrived in terrible condition, cannot be sold.",Damaged Goods,critical,SUP-11708,cherries,Europe,ORD-309505,order ord309505 completely ruined organic apples arrived in terrible condition cannot be sold,order ord309505 completely ruined organic apples arrived terrible condition cannot sold,0
CMP-000199,2024-04-30 15:00:21,CUST-2022,app,Unacceptable quality for shipment ORD-805668. The oranges do not meet our quality standards.,Quality Issues,high,SUP-9769,raspberries,North America,ORD-805668,unacceptable quality for shipment ord805668 the oranges do not meet our quality standards,unacceptable quality shipment ord805668 oranges meet quality standards,6
CMP-000200,2024-05-01 05:37:38,CUST-2891,social,Cannot get anyone to respond about order ORD-631221 delay. Very frustrated with the service.,Poor Communication,medium,SUP-10387,limes,Europe,ORD-631221,cannot get anyone to respond about order ord631221 delay very frustrated with the service,cannot get anyone respond order ord631221 delay frustrated service,4
CMP-000201,2024-05-01 20:14:54,CUST-2325,email,Critical delay on order ORD-274418. The lemons were time-sensitive and now may be unusable.,Delivery Delay,high,SUP-9183,cantaloupe,North America,ORD-274418,critical delay on order ord274418 the lemons were timesensitive and now may be unusable,critical delay order ord274418 lemons timesensitive may unusable,1
CMP-000202,2024-05-02 10:52:11,CUST-2188,app,Pricing error detected. Order ORD-685098 billed at $5336 instead of agreed $4599.,Pricing Error,high,SUP-8954,lettuce,Europe,ORD-685098,pricing error detected order ord685098 billed at 5336 instead of agreed 4599,pricing error detected order ord685098 billed 5336 instead agreed 4599,5
CMP-000203,2024-05-03 01:29:27,CUST-2885,email,Received order ORD-536181 with 42% of pears damaged. Packaging was inadequate.,Damaged Goods,critical,SUP-8900,lettuce,Europe,ORD-536181,received order ord536181 with 42 of pears damaged packaging was inadequate,received order ord536181 42 pears damaged packaging inadequate,0
CMP-000204,2024-05-03 16:06:44,CUST-2426,social,Quality issue with order ORD-857065. The tomatoes show signs of improper handling during transport.,Damaged Goods,low,SUP-11554,cucumbers,North America,ORD-857065,quality issue with order ord857065 the tomatoes show signs of improper handling during transport,quality issue order ord857065 tomatoes show signs improper handling transport,0
CMP-000205,2024-05-04 06:44:00,CUST-2056,app,Incorrect shipping documents for ORD-355761. Supplier name and details are wrong.,Documentation Error,low,SUP-8540,raspberries,Asia,ORD-355761,incorrect shipping documents for ord355761 supplier name and details are wrong,incorrect shipping documents ord355761 supplier name details wrong,2
CMP-000206,2024-05-04 21:21:16,CUST-2257,app,"Damaged goods in shipment ORD-873207. Temperature control appears to have failed, onions are spoiled.",Damaged Goods,critical,SUP-11520,tomatoes,North America,ORD-873207,damaged goods in shipment ord873207 temperature control appears to have failed onions are spoiled,damaged goods shipment ord873207 temperature control appears failed onions spoiled,0
CMP-000207,2024-05-05 11:58:33,CUST-2637,app,Customer service rep was very unprofessional when I called about order ORD-206694.,Service Complaint,medium,SUP-9890,raspberries,North America,ORD-206694,customer service rep was very unprofessional when i called about order ord206694,customer service rep unprofessional called order ord206694,7
CMP-000208,2024-05-06 02:35:49,CUST-2202,email,Received only partial order ORD-511612. Where are the remaining 48 blueberries?,Missing Items,medium,SUP-5965,oranges,Europe,ORD-511612,received only partial order ord511612 where are the remaining 48 blueberries,received partial order ord511612 remaining 48 blueberries,3
CMP-000209,2024-05-06 17:13:06,CUST-1374,web,Shipment ORD-222629 arrived with crushed boxes. Multiple carrots units are unsellable.,Damaged Goods,medium,SUP-9402,watermelons,North America,ORD-222629,shipment ord222629 arrived with crushed boxes multiple carrots units are unsellable,shipment ord222629 arrived crushed boxes multiple carrots units unsellable,0
CMP-000210,2024-05-07 07:50:22,CUST-2136,app,Order ORD-281649 missing items. Expected 417 but received only 53 mangoes.,Missing Items,high,SUP-6118,bananas,Europe,ORD-281649,order ord281649 missing items expected 417 but received only 53 mangoes,order ord281649 missing items expected 417 received 53 mangoes,3
CMP-000211,2024-05-07 22:27:39,CUST-2035,social,"Freshness issue with order ORD-688861. limes appear to be several days old, not fresh picked.",Quality Issues,high,SUP-11234,oranges,Europe,ORD-688861,freshness issue with order ord688861 limes appear to be several days old not fresh picked,freshness issue order ord688861 limes appear several days old fresh picked,6
CMP-000212,2024-05-08 13:04:55,CUST-1562,app,Critical delay on order ORD-134283. The mangoes were time-sensitive and now may be unusable.,Delivery Delay,medium,SUP-11349,potatoes,Europe,ORD-134283,critical delay on order ord134283 the mangoes were timesensitive and now may be unusable,critical delay order ord134283 mangoes timesensitive may unusable,1
CMP-000213,2024-05-09 03:42:12,CUST-2684,email,Shipment ORD-668373 stuck in transit for 5 days. This is causing major disruptions to our supply chain.,Delivery Delay,medium,SUP-8684,grapes,Europe,ORD-668373,shipment ord668373 stuck in transit for 5 days this is causing major disruptions to our supply chain,shipment ord668373 stuck transit 5 days causing major disruptions supply chain,1
CMP-000214,2024-05-09 18:19:28,CUST-1178,social,Invoice ORD-956401 shows incorrect pricing. We were quoted $4007 but charged $4673.,Pricing Error,high,SUP-11429,bananas,Asia,ORD-956401,invoice ord956401 shows incorrect pricing we were quoted 4007 but charged 4673,invoice ord956401 shows incorrect pricing quoted 4007 charged 4673,5
CMP-000215,2024-05-10 08:56:45,CUST-1121,web,"Order ORD-944565 completely ruined. grapes arrived in terrible condition, cannot be sold.",Damaged Goods,medium,SUP-9214,asparagus,North America,ORD-944565,order ord944565 completely ruined grapes arrived in terrible condition cannot be sold,order ord944565 completely ruined grapes arrived terrible condition cannot sold,0
CMP-000216,2024-05-10 23:34:01,CUST-1195,app,Shipment ORD-954779 stuck in transit for 6 days. This is causing major disruptions to our supply chain.,Delivery Delay,high,SUP-11910,limes,Europe,ORD-954779,shipment ord954779 stuck in transit for 6 days this is causing major disruptions to our supply chain,shipment ord954779 stuck transit 6 days causing major disruptions supply chain,1
